e5,2,0,7,0
e7,2,0,6,0
e6,2,3,7,0
b6,3,0,5.5,0
e4,4,2,4,0
b5,6,0,5.5,0
e4,8,-2,4,0
e5,9,-3,7,0
e6,9,0,7,0
b6,9,0,5.5,0
e7,10,0,6,0
e4,12,2,4,0
b5,12,0,5.5,0
b6,15,0,5.5,0
e4,16,-2,4,0
e5,17,3,7,0
e6,17,-3,7,0
b5,18,0,5.5,0
e7,19,0,6,0
e7,19,0,6,0
e4,20,-2,4,0
b6,21,0,5.5,0
e4,24,2,4,0
b5,24,0,5.5,0
e5,25,0,7,0
e6,25,3,7,0
b6,27,0,5.5,0
e4,28,-2,4,0
e7,28,0,6,0
e7,28,0,6,0
b5,30,0,5.5,0
e4,32,2,4,0
e6,33,3,7,0
e5,33,-3,7,0
b6,33,0,5.5,0
e4,36,5,4,0
b5,36,0,5.5,0
e7,37,0,6,0
e7,37,0,6,0
e7,37,0,6,0
b6,39,0,5.5,0
e4,40,-5,4,0
e6,41,-3,7,0
e5,41,3,7,0
b5,42,0,5.5,0
e4,44,5,4,0
b6,45,0,5.5,0
e7,46,0,6,0
e7,46,0,6,0
e7,46,0,6,0
e4,48,-5,4,0
b5,48,0,5.5,0
e6,49,2,7,0
e5,49,-2,7,0
b6,51,0,5.5,0
e4,52,7,4,0
b5,54,0,5.5,0
e7,55,0,6,0
e7,55,0,6,0
e7,55,0,6,0
e7,55,0,6,0
e4,56,-7,4,0
e6,57,-2,7,0
e5,57,2,7,0
b6,57,0,5.5,0
e9,63,0,4,0
e5,64,-6,7,0
e6,64,6,7,0
e5,67,6,7,0
e6,67,-6,7,0
e5,70,-6,7,0
e6,70,6,7,0
e5,73,6,7,0
e6,73,-6,7,0
e5,76,-6,7,0
e6,76,6,7,0
e5,79,6,7,0
e6,79,-6,7,0
e5,82,-6,7,0
e6,82,6,7,0
e5,85,6,7,0
e6,85,-6,7,0
e5,88,-6,7,0
e6,88,6,7,0
e5,91,6,7,0
e6,91,-6,7,0
e5,94,-6,7,0
e6,94,6,7,0
boss3,96,0,0,0
