e8,2,0,4,0
e3,2,-6,4,0
e3,2,6,4,0
b3,3,0,5.5,0
b3,3,3,7.5,0
b3,3,-3,9.5,0
e7,4,0,5.5,0
b6,5,-3,5.5,0
e1,7,8,7,0
e1,7,-8,5.8,0
e7,8,0,5.5,0
b3,11,0,5.5,0
b6,11,1,5.5,0
b3,11,3,7.5,0
b3,11,-3,9.5,0
e7,12,0,5.5,0
b4,13,-5,5.5,0
e1,14,8,5.8,0
e1,14,-8,7,0
b5,15,-8,5.5,0
e8,15,0,4,0
e3,15,-6,4,0
e3,15,6,4,0
e7,16,0,5.5,0
b6,17,-4,5.5,0
b3,19,0,5.5,0
b4,19,8,5.5,0
b3,19,3,7.5,0
b3,19,-3,9.5,0
e7,20,0,5.5,0
b5,21,4,5.5,0
e1,22,8,7,0
e1,22,-8,5.8,0
b6,23,1,5.5,0
e7,24,0,5.5,0
b4,25,-9,5.5,0
b3,27,0,5.5,0
b5,27,-6,5.5,0
b3,27,3,7.5,0
b3,27,-3,9.5,0
e7,28,0,5.5,0
b6,29,-5,5.5,0
e1,29,8,5.8,0
e1,29,-8,7,0
e8,30,0,4,0
e3,30,-6,4,0
e3,30,6,4,0
b4,31,7,5.5,0
e7,32,0,5.5,0
b5,33,2,5.5,0
b3,35,0,5.5,0
b6,35,9,5.5,0
b3,35,3,7.5,0
b3,35,-3,9.5,0
e7,36,0,5.5,0
b4,37,-9,5.5,0
e1,37,8,7,0
e1,37,-8,5.8,0
b5,39,6,5.5,0
e7,40,0,5.5,0
b6,41,-2,5.5,0
b3,43,0,5.5,0
b4,43,3,5.5,0
b3,43,3,7.5,0
b3,43,-3,9.5,0
e1,44,8,5.8,0
e1,44,-8,7,0
e7,44,0,5.5,0
b5,45,4,5.5,0
e8,45,0,4,0
e3,45,-6,4,0
e3,45,6,4,0
b6,47,6,5.5,0
e7,48,0,5.5,0
b4,49,-2,5.5,0
b3,51,0,5.5,0
b5,51,3,5.5,0
b3,51,3,7.5,0
b3,51,-3,9.5,0
e1,52,8,7,0
e1,52,-8,5.8,0
e7,52,0,5.5,0
b6,53,-5,5.5,0
b4,55,3,5.5,0
e7,56,0,5.5,0
b5,57,-3,5.5,0
b3,59,0,5.5,0
b6,59,3,5.5,0
e1,59,8,5.8,0
e1,59,-8,7,0
b3,59,3,7.5,0
b3,59,-3,9.5,0
e8,60,0,4,0
e3,60,-6,4,0
e3,60,6,4,0
e7,60,0,5.5,0
boss2,73,0,3,0
