b3,3,3,5.5,0
b3,3,-3,5.5,0
b3,6,3,5.5,0
b3,9,4,5.5,0
b3,12,2,5.5,0
b3,15,3,5.5,0
b3,18,4,5.5,0
b3,21,5,5.5,0
b3,24,4,5.5,0
b3,27,3,5.5,0
b3,30,2,5.5,0
b3,33,1,5.5,0
b3,36,0,5.5,0
b3,39,-1,5.5,0
b3,42,-2,5.5,0
b3,45,-3,5.5,0
b3,48,-4,5.5,0
b3,51,-3,5.5,0
b3,54,-2,5.5,0
b3,57,-1,5.5,0
b3,60,0,5.5,0
b4,5,2,5.5,0
b5,5,-3,5.5,0
e1,1,2,5.5,0
e2,1,-2,4,0
e2,2,0,4,0
e2,4,-2,4,0
e2,6,2,4,0
e2,8,4,4,0
e2,10,6,4,0
e2,12,-6,4,0
e2,14,-4,4,0
e2,16,-2,4,0
e2,18,0,4,0
e2,20,2,4,0
e2,22,4,4,0
e2,24,6,4,0
e2,26,-6,4,0
e2,28,-4,4,0
e2,30,-2,4,0
e2,32,0,4,0
e2,34,2,4,0
e2,36,4,4,0
e2,38,6,4,0
e2,40,-6,4,0
e2,42,-4,4,0
e2,44,-2,4,0
e2,46,0,4,0
e2,48,2,4,0
e2,50,4,4,0
e2,52,6,4,0
e2,54,-6,4,0
e2,56,-4,4,0
e2,58,-2,4,0
e2,60,0,4,0
e3,10,2,4.6,0
e3,10,-2,4.6,0
e3,15,0,4.3,0
e3,20,6,4.6,0
e3,20,-6,4.6,0
e3,30,1,4.3,0
e3,30,-1,4.3,0
e3,40,-5,4.6,0
e3,40,5,4.6,0
e3,50,0,4.6,0
e3,60,-7,4.6,0
e3,60,7,4.6,0
boss1,70,0,3,0
